"Study","Person","Rater","Criterion","Score"
"Study1","P106","R05","Linguistic_Realization",2
"Study1","P106","R05","Task_Fulfillment",2
"Study1","P107","R05","Global_Impression",3
"Study1","P107","R05","Linguistic_Realization",3
"Study1","P107","R05","Task_Fulfillment",1
"Study1","P107","R11","Global_Impression",2
"Study1","P107","R11","Linguistic_Realization",3
"Study1","P107","R11","Task_Fulfillment",2
"Study1","P108","R14","Global_Impression",4
"Study1","P108","R14","Linguistic_Realization",3
"Study1","P108","R14","Task_Fulfillment",4
"Study1","P108","R18","Global_Impression",4
"Study1","P108","R18","Linguistic_Realization",4
"Study1","P108","R18","Task_Fulfillment",4
"Study1","P109","R04","Global_Impression",4
"Study1","P109","R04","Linguistic_Realization",4
"Study1","P109","R04","Task_Fulfillment",3
"Study1","P109","R08","Global_Impression",3
"Study1","P109","R08","Linguistic_Realization",2
"Study1","P109","R08","Task_Fulfillment",4
"Study1","P110","R01","Global_Impression",3
"Study1","P110","R01","Linguistic_Realization",4
"Study1","P110","R01","Task_Fulfillment",3
"Study1","P110","R13","Global_Impression",2
"Study1","P110","R13","Linguistic_Realization",1
"Study1","P110","R13","Task_Fulfillment",1
"Study1","P111","R07","Global_Impression",4
"Study1","P111","R07","Linguistic_Realization",2
"Study1","P111","R07","Task_Fulfillment",4
"Study1","P111","R09","Global_Impression",3
"Study1","P111","R09","Linguistic_Realization",3
"Study1","P111","R09","Task_Fulfillment",2
"Study1","P112","R02","Global_Impression",2
"Study1","P112","R02","Linguistic_Realization",2
"Study1","P112","R02","Task_Fulfillment",1
"Study1","P112","R06","Global_Impression",2
"Study1","P112","R06","Linguistic_Realization",1
"Study1","P112","R06","Task_Fulfillment",1
"Study1","P113","R08","Global_Impression",3
"Study1","P113","R08","Linguistic_Realization",2
"Study1","P113","R08","Task_Fulfillment",2
"Study1","P113","R17","Global_Impression",2
"Study1","P113","R17","Linguistic_Realization",1
"Study1","P113","R17","Task_Fulfillment",1
"Study1","P114","R09","Global_Impression",4
"Study1","P114","R09","Linguistic_Realization",4
"Study1","P114","R09","Task_Fulfillment",3
"Study1","P114","R14","Global_Impression",4
"Study1","P114","R14","Linguistic_Realization",3
"Study1","P114","R14","Task_Fulfillment",3
"Study1","P115","R05","Global_Impression",3
"Study1","P115","R05","Linguistic_Realization",2
"Study1","P115","R05","Task_Fulfillment",3
"Study1","P115","R10","Global_Impression",2
"Study1","P115","R10","Linguistic_Realization",1
"Study1","P115","R10","Task_Fulfillment",2
"Study1","P116","R07","Global_Impression",4
"Study1","P116","R07","Linguistic_Realization",4
"Study1","P116","R07","Task_Fulfillment",4
"Study1","P116","R12","Global_Impression",4
"Study1","P116","R12","Linguistic_Realization",3
"Study1","P116","R12","Task_Fulfillment",4
"Study1","P117","R13","Global_Impression",2
"Study1","P117","R13","Linguistic_Realization",4
"Study1","P117","R13","Task_Fulfillment",1
"Study1","P117","R17","Global_Impression",4
"Study1","P117","R17","Linguistic_Realization",3
"Study1","P117","R17","Task_Fulfillment",4
"Study1","P118","R05","Global_Impression",4
"Study1","P118","R05","Linguistic_Realization",4
"Study1","P118","R05","Task_Fulfillment",4
"Study1","P118","R11","Global_Impression",4
"Study1","P118","R11","Linguistic_Realization",3
"Study1","P118","R11","Task_Fulfillment",3
"Study1","P119","R08","Global_Impression",3
"Study1","P119","R08","Linguistic_Realization",2
"Study1","P119","R08","Task_Fulfillment",3
"Study1","P119","R11","Global_Impression",4
"Study1","P119","R11","Linguistic_Realization",2
"Study1","P119","R11","Task_Fulfillment",2
"Study1","P120","R10","Global_Impression",4
"Study1","P120","R10","Linguistic_Realization",4
"Study1","P120","R10","Task_Fulfillment",3
"Study1","P120","R11","Global_Impression",4
"Study1","P120","R11","Linguistic_Realization",2
"Study1","P120","R11","Task_Fulfillment",3
"Study1","P121","R06","Global_Impression",3
"Study1","P121","R06","Linguistic_Realization",2
"Study1","P121","R06","Task_Fulfillment",2
"Study1","P121","R10","Global_Impression",4
"Study1","P121","R10","Linguistic_Realization",2
"Study1","P121","R10","Task_Fulfillment",1
"Study1","P122","R09","Global_Impression",4
"Study1","P122","R09","Linguistic_Realization",3
"Study1","P122","R09","Task_Fulfillment",4
"Study1","P122","R18","Global_Impression",4
"Study1","P122","R18","Linguistic_Realization",1
"Study1","P122","R18","Task_Fulfillment",3
"Study1","P123","R08","Global_Impression",2
"Study1","P123","R08","Linguistic_Realization",3
"Study1","P123","R08","Task_Fulfillment",2
"Study1","P123","R18","Global_Impression",3
"Study1","P123","R18","Linguistic_Realization",2
"Study1","P123","R18","Task_Fulfillment",1
"Study1","P124","R01","Global_Impression",2
"Study1","P124","R01","Linguistic_Realization",3
"Study1","P124","R01","Task_Fulfillment",1
"Study1","P124","R18","Global_Impression",3
"Study1","P124","R18","Linguistic_Realization",1
"Study1","P124","R18","Task_Fulfillment",1
"Study1","P125","R08","Global_Impression",4
"Study1","P125","R08","Linguistic_Realization",4
"Study1","P125","R08","Task_Fulfillment",4
"Study1","P125","R11","Global_Impression",4
"Study1","P125","R11","Linguistic_Realization",3
"Study1","P125","R11","Task_Fulfillment",2
"Study1","P126","R01","Global_Impression",3
"Study1","P126","R01","Linguistic_Realization",4
"Study1","P126","R01","Task_Fulfillment",2
"Study1","P126","R02","Global_Impression",4
"Study1","P126","R02","Linguistic_Realization",4
"Study1","P126","R02","Task_Fulfillment",3
"Study1","P127","R08","Global_Impression",4
"Study1","P127","R08","Linguistic_Realization",4
"Study1","P127","R08","Task_Fulfillment",4
"Study1","P127","R18","Global_Impression",4
"Study1","P127","R18","Linguistic_Realization",3
"Study1","P127","R18","Task_Fulfillment",4
"Study1","P128","R14","Global_Impression",4
"Study1","P128","R14","Linguistic_Realization",4
"Study1","P128","R14","Task_Fulfillment",4
"Study1","P128","R16","Global_Impression",3
"Study1","P128","R16","Linguistic_Realization",3
"Study1","P128","R16","Task_Fulfillment",4
"Study1","P129","R03","Global_Impression",4
"Study1","P129","R03","Linguistic_Realization",2
"Study1","P129","R03","Task_Fulfillment",3
"Study1","P129","R17","Global_Impression",2
"Study1","P129","R17","Linguistic_Realization",2
"Study1","P129","R17","Task_Fulfillment",2
"Study1","P130","R05","Global_Impression",4
"Study1","P130","R05","Linguistic_Realization",3
"Study1","P130","R05","Task_Fulfillment",1
"Study1","P130","R18","Global_Impression",4
"Study1","P130","R18","Linguistic_Realization",3
"Study1","P130","R18","Task_Fulfillment",3
"Study1","P131","R08","Global_Impression",4
"Study1","P131","R08","Linguistic_Realization",2
"Study1","P131","R08","Task_Fulfillment",4
"Study1","P131","R12","Global_Impression",3
"Study1","P131","R12","Linguistic_Realization",3
"Study1","P131","R12","Task_Fulfillment",4
"Study1","P132","R04","Global_Impression",3
"Study1","P132","R04","Linguistic_Realization",2
"Study1","P132","R04","Task_Fulfillment",2
"Study1","P132","R11","Global_Impression",3
"Study1","P132","R11","Linguistic_Realization",1
"Study1","P132","R11","Task_Fulfillment",2
"Study1","P133","R05","Global_Impression",4
"Study1","P133","R05","Linguistic_Realization",2
"Study1","P133","R05","Task_Fulfillment",2
"Study1","P133","R08","Global_Impression",4
"Study1","P133","R08","Linguistic_Realization",2
"Study1","P133","R08","Task_Fulfillment",3
"Study1","P134","R02","Global_Impression",3
"Study1","P134","R02","Linguistic_Realization",4
"Study1","P134","R02","Task_Fulfillment",3
"Study1","P134","R04","Global_Impression",4
"Study1","P134","R04","Linguistic_Realization",4
"Study1","P134","R04","Task_Fulfillment",4
"Study1","P135","R06","Global_Impression",4
"Study1","P135","R06","Linguistic_Realization",3
"Study1","P135","R06","Task_Fulfillment",4
"Study1","P135","R10","Global_Impression",4
"Study1","P135","R10","Linguistic_Realization",4
"Study1","P135","R10","Task_Fulfillment",4
"Study1","P136","R05","Global_Impression",2
"Study1","P136","R05","Linguistic_Realization",1
"Study1","P136","R05","Task_Fulfillment",2
"Study1","P136","R06","Global_Impression",1
"Study1","P136","R06","Linguistic_Realization",1
"Study1","P136","R06","Task_Fulfillment",1
"Study1","P137","R09","Global_Impression",4
"Study1","P137","R09","Linguistic_Realization",4
"Study1","P137","R09","Task_Fulfillment",3
"Study1","P137","R18","Global_Impression",4
"Study1","P137","R18","Linguistic_Realization",3
"Study1","P137","R18","Task_Fulfillment",2
"Study1","P138","R06","Global_Impression",4
"Study1","P138","R06","Linguistic_Realization",1
"Study1","P138","R06","Task_Fulfillment",2
"Study1","P138","R10","Global_Impression",3
"Study1","P138","R10","Linguistic_Realization",4
"Study1","P138","R10","Task_Fulfillment",1
"Study1","P139","R12","Global_Impression",3
"Study1","P139","R12","Linguistic_Realization",3
"Study1","P139","R12","Task_Fulfillment",4
"Study1","P139","R18","Global_Impression",4
"Study1","P139","R18","Linguistic_Realization",3
"Study1","P139","R18","Task_Fulfillment",3
"Study1","P140","R01","Global_Impression",4
"Study1","P140","R01","Linguistic_Realization",2
"Study1","P140","R01","Task_Fulfillment",3
"Study1","P140","R05","Global_Impression",4
"Study1","P140","R05","Linguistic_Realization",4
"Study1","P140","R05","Task_Fulfillment",3
"Study1","P141","R04","Global_Impression",4
"Study1","P141","R04","Linguistic_Realization",3
"Study1","P141","R04","Task_Fulfillment",2
"Study1","P141","R06","Global_Impression",1
"Study1","P141","R06","Linguistic_Realization",2
"Study1","P141","R06","Task_Fulfillment",4
"Study1","P142","R08","Global_Impression",3
"Study1","P142","R08","Linguistic_Realization",3
"Study1","P142","R08","Task_Fulfillment",4
"Study1","P142","R10","Global_Impression",1
"Study1","P142","R10","Linguistic_Realization",1
"Study1","P142","R10","Task_Fulfillment",3
"Study1","P143","R05","Global_Impression",4
"Study1","P143","R05","Linguistic_Realization",3
"Study1","P143","R05","Task_Fulfillment",4
"Study1","P143","R18","Global_Impression",2
"Study1","P143","R18","Linguistic_Realization",2
"Study1","P143","R18","Task_Fulfillment",4
"Study1","P144","R05","Global_Impression",4
"Study1","P144","R05","Linguistic_Realization",3
"Study1","P144","R05","Task_Fulfillment",4
"Study1","P144","R17","Global_Impression",4
"Study1","P144","R17","Linguistic_Realization",4
"Study1","P144","R17","Task_Fulfillment",4
"Study1","P145","R08","Global_Impression",4
"Study1","P145","R08","Linguistic_Realization",2
"Study1","P145","R08","Task_Fulfillment",1
"Study1","P145","R11","Global_Impression",3
"Study1","P145","R11","Linguistic_Realization",1
"Study1","P145","R11","Task_Fulfillment",2
"Study1","P146","R05","Global_Impression",4
"Study1","P146","R05","Linguistic_Realization",4
"Study1","P146","R05","Task_Fulfillment",4
"Study1","P146","R10","Global_Impression",3
"Study1","P146","R10","Linguistic_Realization",3
"Study1","P146","R10","Task_Fulfillment",3
"Study1","P147","R01","Global_Impression",3
"Study1","P147","R01","Linguistic_Realization",2
"Study1","P147","R01","Task_Fulfillment",2
"Study1","P147","R13","Global_Impression",1
"Study1","P147","R13","Linguistic_Realization",2
"Study1","P147","R13","Task_Fulfillment",3
"Study1","P148","R03","Global_Impression",3
"Study1","P148","R03","Linguistic_Realization",3
"Study1","P148","R03","Task_Fulfillment",2
"Study1","P148","R07","Global_Impression",3
"Study1","P148","R07","Linguistic_Realization",2
"Study1","P148","R07","Task_Fulfillment",3
"Study1","P149","R05","Global_Impression",4
"Study1","P149","R05","Linguistic_Realization",3
"Study1","P149","R05","Task_Fulfillment",4
"Study1","P149","R08","Global_Impression",4
"Study1","P149","R08","Linguistic_Realization",4
"Study1","P149","R08","Task_Fulfillment",4
"Study1","P150","R01","Global_Impression",1
"Study1","P150","R01","Linguistic_Realization",3
"Study1","P150","R01","Task_Fulfillment",1
"Study1","P150","R18","Global_Impression",3
"Study1","P150","R18","Linguistic_Realization",3
"Study1","P150","R18","Task_Fulfillment",2
"Study1","P151","R10","Global_Impression",4
"Study1","P151","R10","Linguistic_Realization",2
"Study1","P151","R10","Task_Fulfillment",2
"Study1","P151","R11","Global_Impression",2
"Study1","P151","R11","Linguistic_Realization",1
"Study1","P151","R11","Task_Fulfillment",2
"Study1","P152","R01","Global_Impression",2
"Study1","P152","R01","Linguistic_Realization",3
"Study1","P152","R01","Task_Fulfillment",1
"Study1","P152","R17","Global_Impression",4
"Study1","P152","R17","Linguistic_Realization",2
"Study1","P152","R17","Task_Fulfillment",1
"Study1","P153","R02","Global_Impression",4
"Study1","P153","R02","Linguistic_Realization",2
"Study1","P153","R02","Task_Fulfillment",3
"Study1","P153","R03","Global_Impression",4
"Study1","P153","R03","Linguistic_Realization",4
"Study1","P153","R03","Task_Fulfillment",3
"Study1","P154","R01","Global_Impression",4
"Study1","P154","R01","Linguistic_Realization",2
"Study1","P154","R01","Task_Fulfillment",4
"Study1","P154","R03","Global_Impression",4
"Study1","P154","R03","Linguistic_Realization",4
"Study1","P154","R03","Task_Fulfillment",3
"Study1","P155","R05","Global_Impression",4
"Study1","P155","R05","Linguistic_Realization",4
"Study1","P155","R05","Task_Fulfillment",3
"Study1","P155","R06","Global_Impression",4
"Study1","P155","R06","Linguistic_Realization",3
"Study1","P155","R06","Task_Fulfillment",2
"Study1","P156","R08","Global_Impression",4
"Study1","P156","R08","Linguistic_Realization",4
"Study1","P156","R08","Task_Fulfillment",4
"Study1","P156","R18","Global_Impression",4
"Study1","P156","R18","Linguistic_Realization",4
"Study1","P156","R18","Task_Fulfillment",3
"Study1","P157","R08","Global_Impression",4
"Study1","P157","R08","Linguistic_Realization",4
"Study1","P157","R08","Task_Fulfillment",4
"Study1","P157","R13","Global_Impression",4
"Study1","P157","R13","Linguistic_Realization",3
"Study1","P157","R13","Task_Fulfillment",4
"Study1","P158","R03","Global_Impression",4
"Study1","P158","R03","Linguistic_Realization",4
"Study1","P158","R03","Task_Fulfillment",2
"Study1","P158","R08","Global_Impression",4
"Study1","P158","R08","Linguistic_Realization",4
"Study1","P158","R08","Task_Fulfillment",2
"Study1","P159","R11","Global_Impression",2
"Study1","P159","R11","Linguistic_Realization",1
"Study1","P159","R11","Task_Fulfillment",1
"Study1","P159","R13","Global_Impression",1
"Study1","P159","R13","Linguistic_Realization",1
"Study1","P159","R13","Task_Fulfillment",1
"Study1","P160","R02","Global_Impression",4
"Study1","P160","R02","Linguistic_Realization",3
"Study1","P160","R02","Task_Fulfillment",2
"Study1","P160","R11","Global_Impression",3
"Study1","P160","R11","Linguistic_Realization",4
"Study1","P160","R11","Task_Fulfillment",3
"Study1","P161","R03","Global_Impression",4
"Study1","P161","R03","Linguistic_Realization",3
"Study1","P161","R03","Task_Fulfillment",4
"Study1","P161","R18","Global_Impression",4
"Study1","P161","R18","Linguistic_Realization",4
"Study1","P161","R18","Task_Fulfillment",4
"Study1","P162","R08","Global_Impression",4
"Study1","P162","R08","Linguistic_Realization",4
"Study1","P162","R08","Task_Fulfillment",4
"Study1","P162","R11","Global_Impression",4
"Study1","P162","R11","Linguistic_Realization",2
"Study1","P162","R11","Task_Fulfillment",4
"Study1","P163","R04","Global_Impression",3
"Study1","P163","R04","Linguistic_Realization",4
"Study1","P163","R04","Task_Fulfillment",3
"Study1","P163","R15","Global_Impression",4
"Study1","P163","R15","Linguistic_Realization",3
"Study1","P163","R15","Task_Fulfillment",2
"Study1","P164","R05","Global_Impression",4
"Study1","P164","R05","Linguistic_Realization",2
"Study1","P164","R05","Task_Fulfillment",2
"Study1","P164","R17","Global_Impression",2
"Study1","P164","R17","Linguistic_Realization",2
"Study1","P164","R17","Task_Fulfillment",1
"Study1","P165","R10","Global_Impression",3
"Study1","P165","R10","Linguistic_Realization",2
"Study1","P165","R10","Task_Fulfillment",2
"Study1","P165","R13","Global_Impression",2
"Study1","P165","R13","Linguistic_Realization",1
"Study1","P165","R13","Task_Fulfillment",3
"Study1","P166","R06","Global_Impression",2
"Study1","P166","R06","Linguistic_Realization",3
"Study1","P166","R06","Task_Fulfillment",2
"Study1","P166","R13","Global_Impression",3
"Study1","P166","R13","Linguistic_Realization",2
"Study1","P166","R13","Task_Fulfillment",2
"Study1","P167","R08","Global_Impression",4
"Study1","P167","R08","Linguistic_Realization",2
"Study1","P167","R08","Task_Fulfillment",2
"Study1","P167","R17","Global_Impression",3
"Study1","P167","R17","Linguistic_Realization",2
"Study1","P167","R17","Task_Fulfillment",2
"Study1","P168","R01","Global_Impression",4
"Study1","P168","R01","Linguistic_Realization",3
"Study1","P168","R01","Task_Fulfillment",3
"Study1","P168","R08","Global_Impression",4
"Study1","P168","R08","Linguistic_Realization",2
"Study1","P168","R08","Task_Fulfillment",4
"Study1","P169","R09","Global_Impression",4
"Study1","P169","R09","Linguistic_Realization",2
"Study1","P169","R09","Task_Fulfillment",3
"Study1","P169","R17","Global_Impression",4
"Study1","P169","R17","Linguistic_Realization",2
"Study1","P169","R17","Task_Fulfillment",4
"Study1","P170","R06","Global_Impression",2
"Study1","P170","R06","Linguistic_Realization",1
"Study1","P170","R06","Task_Fulfillment",2
"Study1","P170","R08","Global_Impression",4
"Study1","P170","R08","Linguistic_Realization",3
"Study1","P170","R08","Task_Fulfillment",3
"Study1","P171","R03","Global_Impression",3
"Study1","P171","R03","Linguistic_Realization",4
"Study1","P171","R03","Task_Fulfillment",4
"Study1","P171","R08","Global_Impression",4
"Study1","P171","R08","Linguistic_Realization",4
"Study1","P171","R08","Task_Fulfillment",3
"Study1","P172","R09","Global_Impression",4
"Study1","P172","R09","Linguistic_Realization",4
"Study1","P172","R09","Task_Fulfillment",4
"Study1","P172","R12","Global_Impression",3
"Study1","P172","R12","Linguistic_Realization",2
"Study1","P172","R12","Task_Fulfillment",4
"Study1","P173","R10","Global_Impression",2
"Study1","P173","R10","Linguistic_Realization",1
"Study1","P173","R10","Task_Fulfillment",1
"Study1","P173","R11","Global_Impression",1
"Study1","P173","R11","Linguistic_Realization",1
"Study1","P173","R11","Task_Fulfillment",2
"Study1","P174","R05","Global_Impression",4
"Study1","P174","R05","Linguistic_Realization",4
"Study1","P174","R05","Task_Fulfillment",3
"Study1","P174","R09","Global_Impression",3
"Study1","P174","R09","Linguistic_Realization",2
"Study1","P174","R09","Task_Fulfillment",3
"Study1","P175","R05","Global_Impression",4
"Study1","P175","R05","Linguistic_Realization",4
"Study1","P175","R05","Task_Fulfillment",4
"Study1","P175","R10","Global_Impression",4
"Study1","P175","R10","Linguistic_Realization",3
"Study1","P175","R10","Task_Fulfillment",3
"Study1","P176","R03","Global_Impression",4
"Study1","P176","R03","Linguistic_Realization",3
"Study1","P176","R03","Task_Fulfillment",4
"Study1","P176","R05","Global_Impression",4
"Study1","P176","R05","Linguistic_Realization",4
"Study1","P176","R05","Task_Fulfillment",4
"Study1","P177","R08","Global_Impression",3
"Study1","P177","R08","Linguistic_Realization",3
"Study1","P177","R08","Task_Fulfillment",2
"Study1","P177","R10","Global_Impression",3
"Study1","P177","R10","Linguistic_Realization",2
"Study1","P177","R10","Task_Fulfillment",2
"Study1","P178","R04","Global_Impression",4
"Study1","P178","R04","Linguistic_Realization",3
"Study1","P178","R04","Task_Fulfillment",4
"Study1","P178","R10","Global_Impression",4
"Study1","P178","R10","Linguistic_Realization",3
"Study1","P178","R10","Task_Fulfillment",2
"Study1","P179","R06","Global_Impression",3
"Study1","P179","R06","Linguistic_Realization",2
"Study1","P179","R06","Task_Fulfillment",2
"Study1","P179","R11","Global_Impression",2
"Study1","P179","R11","Linguistic_Realization",1
"Study1","P179","R11","Task_Fulfillment",1
"Study1","P180","R04","Global_Impression",4
"Study1","P180","R04","Linguistic_Realization",2
"Study1","P180","R04","Task_Fulfillment",3
"Study1","P180","R18","Global_Impression",4
"Study1","P180","R18","Linguistic_Realization",1
"Study1","P180","R18","Task_Fulfillment",3
"Study1","P181","R06","Global_Impression",1
"Study1","P181","R06","Linguistic_Realization",2
"Study1","P181","R06","Task_Fulfillment",1
"Study1","P181","R10","Global_Impression",2
"Study1","P181","R10","Linguistic_Realization",2
"Study1","P181","R10","Task_Fulfillment",1
"Study1","P182","R03","Global_Impression",4
"Study1","P182","R03","Linguistic_Realization",2
"Study1","P182","R03","Task_Fulfillment",2
"Study1","P182","R10","Global_Impression",4
"Study1","P182","R10","Linguistic_Realization",2
"Study1","P182","R10","Task_Fulfillment",2
"Study1","P183","R05","Global_Impression",3
"Study1","P183","R05","Linguistic_Realization",4
"Study1","P183","R05","Task_Fulfillment",3
"Study1","P183","R10","Global_Impression",4
"Study1","P183","R10","Linguistic_Realization",3
"Study1","P183","R10","Task_Fulfillment",4
"Study1","P184","R04","Global_Impression",4
"Study1","P184","R04","Linguistic_Realization",2
"Study1","P184","R04","Task_Fulfillment",1
"Study1","P184","R12","Global_Impression",4
"Study1","P184","R12","Linguistic_Realization",2
"Study1","P184","R12","Task_Fulfillment",1
"Study1","P185","R03","Global_Impression",4
"Study1","P185","R03","Linguistic_Realization",4
"Study1","P185","R03","Task_Fulfillment",2
"Study1","P185","R09","Global_Impression",4
"Study1","P185","R09","Linguistic_Realization",4
"Study1","P185","R09","Task_Fulfillment",3
"Study1","P186","R05","Global_Impression",4
"Study1","P186","R05","Linguistic_Realization",2
"Study1","P186","R05","Task_Fulfillment",4
"Study1","P186","R08","Global_Impression",4
"Study1","P186","R08","Linguistic_Realization",4
"Study1","P186","R08","Task_Fulfillment",2
"Study1","P187","R03","Global_Impression",4
"Study1","P187","R03","Linguistic_Realization",1
"Study1","P187","R03","Task_Fulfillment",2
"Study1","P187","R11","Global_Impression",2
"Study1","P187","R11","Linguistic_Realization",3
"Study1","P187","R11","Task_Fulfillment",3
"Study1","P188","R08","Global_Impression",4
"Study1","P188","R08","Linguistic_Realization",4
"Study1","P188","R08","Task_Fulfillment",4
"Study1","P188","R17","Global_Impression",4
"Study1","P188","R17","Linguistic_Realization",4
"Study1","P188","R17","Task_Fulfillment",4
"Study1","P189","R13","Global_Impression",4
"Study1","P189","R13","Linguistic_Realization",2
"Study1","P189","R13","Task_Fulfillment",1
"Study1","P189","R17","Global_Impression",4
"Study1","P189","R17","Linguistic_Realization",3
"Study1","P189","R17","Task_Fulfillment",4
"Study1","P190","R05","Global_Impression",4
"Study1","P190","R05","Linguistic_Realization",2
"Study1","P190","R05","Task_Fulfillment",3
"Study1","P190","R06","Global_Impression",3
"Study1","P190","R06","Linguistic_Realization",2
"Study1","P190","R06","Task_Fulfillment",2
"Study1","P191","R07","Global_Impression",4
"Study1","P191","R07","Linguistic_Realization",3
"Study1","P191","R07","Task_Fulfillment",3
"Study1","P191","R11","Global_Impression",4
"Study1","P191","R11","Linguistic_Realization",3
"Study1","P191","R11","Task_Fulfillment",4
"Study1","P192","R05","Global_Impression",3
"Study1","P192","R05","Linguistic_Realization",2
"Study1","P192","R05","Task_Fulfillment",2
"Study1","P192","R09","Global_Impression",4
"Study1","P192","R09","Linguistic_Realization",3
"Study1","P192","R09","Task_Fulfillment",1
"Study1","P193","R02","Global_Impression",2
"Study1","P193","R02","Linguistic_Realization",2
"Study1","P193","R02","Task_Fulfillment",1
"Study1","P193","R06","Global_Impression",2
"Study1","P193","R06","Linguistic_Realization",1
"Study1","P193","R06","Task_Fulfillment",1
"Study1","P194","R08","Global_Impression",3
"Study1","P194","R08","Linguistic_Realization",2
"Study1","P194","R08","Task_Fulfillment",2
"Study1","P194","R15","Global_Impression",3
"Study1","P194","R15","Linguistic_Realization",1
"Study1","P194","R15","Task_Fulfillment",2
"Study1","P195","R06","Global_Impression",2
"Study1","P195","R06","Linguistic_Realization",2
"Study1","P195","R06","Task_Fulfillment",1
"Study1","P195","R08","Global_Impression",4
"Study1","P195","R08","Linguistic_Realization",2
"Study1","P195","R08","Task_Fulfillment",3
"Study1","P196","R05","Global_Impression",1
"Study1","P196","R05","Linguistic_Realization",3
"Study1","P196","R05","Task_Fulfillment",1
"Study1","P196","R13","Global_Impression",2
"Study1","P196","R13","Linguistic_Realization",1
"Study1","P196","R13","Task_Fulfillment",1
"Study1","P197","R09","Global_Impression",4
"Study1","P197","R09","Linguistic_Realization",4
"Study1","P197","R09","Task_Fulfillment",4
"Study1","P197","R18","Global_Impression",3
"Study1","P197","R18","Linguistic_Realization",3
"Study1","P197","R18","Task_Fulfillment",4
"Study1","P198","R04","Global_Impression",4
"Study1","P198","R04","Linguistic_Realization",4
"Study1","P198","R04","Task_Fulfillment",4
"Study1","P198","R08","Global_Impression",4
"Study1","P198","R08","Linguistic_Realization",4
"Study1","P198","R08","Task_Fulfillment",3
"Study1","P199","R07","Global_Impression",4
"Study1","P199","R07","Linguistic_Realization",1
"Study1","P199","R07","Task_Fulfillment",4
"Study1","P199","R09","Global_Impression",4
"Study1","P199","R09","Linguistic_Realization",4
"Study1","P199","R09","Task_Fulfillment",4
"Study1","P200","R15","Global_Impression",4
"Study1","P200","R15","Linguistic_Realization",3
"Study1","P200","R15","Task_Fulfillment",3
"Study1","P200","R18","Global_Impression",3
"Study1","P200","R18","Linguistic_Realization",3
"Study1","P200","R18","Task_Fulfillment",2
"Study1","P201","R06","Global_Impression",4
"Study1","P201","R06","Linguistic_Realization",1
"Study1","P201","R06","Task_Fulfillment",2
"Study1","P201","R08","Global_Impression",4
"Study1","P201","R08","Linguistic_Realization",4
"Study1","P201","R08","Task_Fulfillment",3
"Study1","P202","R01","Global_Impression",2
"Study1","P202","R01","Linguistic_Realization",2
"Study1","P202","R01","Task_Fulfillment",1
"Study1","P202","R18","Global_Impression",3
"Study1","P202","R18","Linguistic_Realization",2
"Study1","P202","R18","Task_Fulfillment",4
"Study1","P203","R06","Global_Impression",3
"Study1","P203","R06","Linguistic_Realization",2
"Study1","P203","R06","Task_Fulfillment",2
"Study1","P203","R18","Global_Impression",4
"Study1","P203","R18","Linguistic_Realization",3
"Study1","P203","R18","Task_Fulfillment",3
"Study1","P204","R05","Global_Impression",4
"Study1","P204","R05","Linguistic_Realization",4
"Study1","P204","R05","Task_Fulfillment",4
"Study1","P204","R17","Global_Impression",4
"Study1","P204","R17","Linguistic_Realization",3
"Study1","P204","R17","Task_Fulfillment",4
"Study1","P205","R05","Global_Impression",2
"Study1","P205","R05","Linguistic_Realization",2
"Study1","P205","R05","Task_Fulfillment",1
"Study1","P205","R06","Global_Impression",1
"Study1","P205","R06","Linguistic_Realization",2
"Study1","P205","R06","Task_Fulfillment",1
"Study1","P206","R10","Global_Impression",4
"Study1","P206","R10","Linguistic_Realization",4
"Study1","P206","R10","Task_Fulfillment",4
"Study1","P206","R13","Global_Impression",4
"Study1","P206","R13","Linguistic_Realization",2
"Study1","P206","R13","Task_Fulfillment",1
"Study1","P207","R01","Global_Impression",3
"Study1","P207","R01","Linguistic_Realization",2
"Study1","P207","R01","Task_Fulfillment",2
"Study1","P207","R16","Global_Impression",2
"Study1","P207","R16","Linguistic_Realization",2
"Study1","P207","R16","Task_Fulfillment",3
"Study1","P208","R10","Global_Impression",4
"Study1","P208","R10","Linguistic_Realization",4
"Study1","P208","R10","Task_Fulfillment",3
"Study1","P208","R14","Global_Impression",4
"Study1","P208","R14","Linguistic_Realization",4
"Study1","P208","R14","Task_Fulfillment",4
"Study1","P209","R08","Global_Impression",4
"Study1","P209","R08","Linguistic_Realization",4
"Study1","P209","R08","Task_Fulfillment",4
"Study1","P209","R11","Global_Impression",4
"Study1","P209","R11","Linguistic_Realization",4
"Study1","P209","R11","Task_Fulfillment",4
"Study1","P210","R08","Global_Impression",4
"Study1","P210","R08","Linguistic_Realization",2
"Study1","P210","R08","Task_Fulfillment",3
"Study1","P210","R10","Global_Impression",2
"Study1","P210","R10","Linguistic_Realization",2
"Study1","P210","R10","Task_Fulfillment",3
"Study1","P211","R02","Global_Impression",3
"Study1","P211","R02","Linguistic_Realization",1
"Study1","P211","R02","Task_Fulfillment",4
"Study1","P211","R11","Global_Impression",4
"Study1","P211","R11","Linguistic_Realization",3
"Study1","P211","R11","Task_Fulfillment",4
"Study1","P212","R03","Global_Impression",3
"Study1","P212","R03","Linguistic_Realization",1
"Study1","P212","R03","Task_Fulfillment",4
